age,agechild,citistat,female,married,ownchild,wbhaom,gradeatn,cow1,ftptstat,statefips,hoursut,faminc,mind16,mocc10
45,Own children from all age groups,"Native, born in Puerto Rico or other US island areas",Female,Married,8,Black,Professional school,Government - Federal,"PT hrs, usually PT for non-economic reasons",CA,56,"$40,000 - $49,999","Manufacturing, nondurable goods",Sales
48,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Male,Married,0,White,7th-8th grade,"Private, nonprofit","PT for economic reasons, usually FT",TN,150,"$25,000 - $29,999",Educational,Office and admin
17,All own children 6-13 years of age,"Foreign born, not a US citizen",Female,Married,11,Native American,11th grade,"Self-employed, unincorporated",Not in labor force,SD,46,"$10,000 - $12,499",Public administration,Technicians
21,No own children under 18 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,4,Native American,Professional school,"Private, nonprofit","PT for economic reasons, usually FT",AK,49,"$12,500 - $14,999","Manufacturing, nondurable goods","Precision production, craft and repair"
54,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, naturalized US citizen",Male,Married,0,Multiple races,9th grade,Government - State,"PT for non-economic reasons, usually FT",ND,24,"$12,500 - $14,999",Retail trade,Managers and professionals
70,No own children under 18 years of age,"Foreign born, naturalized US citizen",Female,Not married,10,White,10th grade,"Private, nonprofit",Unemployed FT,DC,182,"Less than $5,000",Social Services,"Precision production, craft and repair"
36,All own children 14-17 years of age,"Native, born in Puerto Rico or other US island areas",Female,Married,12,Asian,Doctorate,Without pay,"FT hours, usually PT for economic reasons",AR,20,"$50,000 - $74,999",Transportation,Services
31,All own children 0-2 years of age,"Native, born in Puerto Rico or other US island areas",Male,Not married,1,Black,Associate degree-academic program,Government - State,"FT hours, usually PT for economic reasons",OH,94,"$35,000 - $39,999",Public administration,Personal care and personal services
47,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Female,Not married,1,Native American,Professional school,Without pay,"FT hours, usually PT for non-economic",NE,122,"$30,000 - $34,999","Personal services, including private household",Services
66,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Married,6,Multiple races,Doctorate,"Self-employed, incorporated",Unemployed FT,AK,119,"$20,000 - $24,999",Hospital,Office and admin
78,Own children from all age groups,"Native, born in US",Male,Married,10,Black,Bachelor's degree,Government - State,Not in labor force,WV,72,"$7,500 - $9,999","Personal services, including private household","Precision production, craft and repair"
31,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Male,Married,3,Multiple races,7th-8th grade,Government - Local,"Not at work, usually FT",OK,4,"$50,000 - $74,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Managers and professionals
32,Own children from all age groups,"Foreign born, naturalized US citizen",Male,Married,13,Asian,Master's degree,"Private, for profit","PT hrs, usually PT for non-economic reasons",CA,7,"$40,000 - $49,999","Manufacturing, durable goods",Sales
19,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in Puerto Rico or other US island areas",Male,Not married,10,Black,Less than 1st grade,"Private, nonprofit","Not at work, usually FT",HI,64,"$35,000 - $39,999","Manufacturing, nondurable goods","Precision production, craft and repair"
31,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, naturalized US citizen",Male,Married,11,Asian,"HS graduate, GED",Government - Federal,"FT hours, usually PT for non-economic",CA,126,"$12,500 - $14,999",Public administration,Agriculture
34,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Female,Not married,11,White,Less than 1st grade,Without pay,"PT hrs, usually PT for economic reasons",TX,93,"$40,000 - $49,999",Social Services,"Precision production, craft and repair"
21,Own children 6-13 and 14-17 years of age (none 0-5),"Native, born abroad with American parent(s)",Female,Married,4,Multiple races,10th grade,"Self-employed, unincorporated",Unemployed FT,TN,197,"$150,000+",Hospital,Agriculture
16,All own children 14-17 years of age,"Native, born abroad with American parent(s)",Female,Not married,6,Asian,9th grade,Government - Local,"PT for non-economic reasons, usually FT",AR,22,"$20,000 - $24,999",Communications and utilities,"Precision production, craft and repair"
74,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, not a US citizen",Female,Married,2,Hispanic,7th-8th grade,Government - State,"FT hours, usually PT for economic reasons",ND,85,"$20,000 - $24,999",Social Services,Personal care and personal services
72,Own children from all age groups,"Foreign born, naturalized US citizen",Male,Not married,8,Multiple races,10th grade,"Self-employed, unincorporated","FT hours (35+), usually FT",WA,47,"$7,500 - $9,999",Public administration,Technicians
77,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Female,Not married,6,Multiple races,"HS graduate, GED",Government - Federal,"PT hrs, usually PT for non-economic reasons",VA,11,"$50,000 - $74,999","Manufacturing, nondurable goods","Precision production, craft and repair"
21,Own children from all age groups,"Foreign born, not a US citizen",Female,Married,11,Hispanic,11th grade,"Private, nonprofit",Unemployed FT,NY,50,"$150,000+",Social Services,Services
67,No own children under 18 years of age,"Foreign born, naturalized US citizen",Male,Not married,10,Asian,10th grade,"Private, for profit","FT hours, usually PT for economic reasons",FL,85,"$35,000 - $39,999","Manufacturing, nondurable goods","Precision production, craft and repair"
51,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born abroad with American parent(s)",Female,Not married,6,Black,5th-6th grade,Without pay,Not in labor force,OK,40,"$12,500 - $14,999",Construction,Personal care and personal services
61,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Female,Not married,9,Hispanic,9th grade,Without pay,Not in labor force,NM,102,"$50,000 - $74,999",Construction,"Precision production, craft and repair"
24,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Female,Not married,11,Native American,9th grade,"Private, for profit","PT hrs, usually PT for economic reasons",DE,70,"$7,500 - $9,999",Social Services,"Precision production, craft and repair"
64,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, naturalized US citizen",Female,Not married,0,White,10th grade,Without pay,Unemployed FT,AL,173,"$75,000 - $99,999",Hospital,Agriculture
55,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Not married,3,Hispanic,5th-6th grade,Government - Local,"PT hrs, usually PT for economic reasons",SD,83,"$5,000 - $7,499",Retail trade,Protective service
16,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born abroad with American parent(s)",Female,Married,1,Multiple races,Some college but no degree,Government - Local,"Not at work, usually FT",HI,194,"$12,500 - $14,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
17,All own children 3-5 years of age,"Foreign born, not a US citizen",Female,Married,13,Native American,Master's degree,"Private, for profit","PT hrs, usually PT for non-economic reasons",DC,46,"$100,000 - $149,999",Public administration,Managers and professionals
42,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, not a US citizen",Female,Married,0,Asian,9th grade,Government - Federal,Unemployed PT,NJ,91,"$5,000 - $7,499",Communications and utilities,Sales
77,No own children under 18 years of age,"Native, born abroad with American parent(s)",Female,Not married,11,Black,Associate degree-occupational/vocational,Government - Federal,"PT hrs, usually PT for economic reasons",KY,71,"$40,000 - $49,999",Communications and utilities,Managers and professionals
61,All own children 0-2 years of age,"Foreign born, not a US citizen",Male,Not married,9,Multiple races,Some college but no degree,"Private, for profit","Not at work, usually part-time",MT,36,"$20,000 - $24,999",Educational,Personal care and personal services
73,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in Puerto Rico or other US island areas",Male,Married,2,Black,7th-8th grade,Government - Federal,"PT for non-economic reasons, usually FT",FL,11,"$20,000 - $24,999",Construction,Personal care and personal services
52,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Male,Married,13,White,12th grade-no diploma,Government - Federal,"Not at work, usually part-time",MI,64,"$15,000 - $19,999",Transportation,"Precision production, craft and repair"
51,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Female,Not married,11,Hispanic,Some college but no degree,"Private, for profit","FT hours (35+), usually FT",WA,74,"$40,000 - $49,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Protective service
63,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in Puerto Rico or other US island areas",Male,Not married,12,White,12th grade-no diploma,"Self-employed, incorporated","PT hrs, usually PT for non-economic reasons",OH,20,"$10,000 - $12,499","Manufacturing, durable goods",Managers and professionals
61,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Female,Married,0,Hispanic,1st-4th grade,"Private, nonprofit","Not at work, usually FT",AZ,45,"$25,000 - $29,999",Entertainment and recreation,Personal care and personal services
24,All own children 6-13 years of age,"Native, born in US",Male,Not married,11,Multiple races,Associate degree-academic program,Without pay,"FT hours (35+), usually FT",TX,196,"$10,000 - $12,499",Public administration,Agriculture
18,All own children 0-2 years of age,"Native, born in US",Male,Married,0,Asian,Master's degree,Government - Local,"FT hours (35+), usually FT",NH,137,"$25,000 - $29,999",Hospital,Personal care and personal services
52,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, naturalized US citizen",Male,Not married,4,White,Doctorate,"Private, nonprofit",Unemployed PT,WV,7,"$75,000 - $99,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Protective service
49,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, not a US citizen",Male,Married,11,Multiple races,Master's degree,Government - Federal,"Not at work, usually FT",CO,98,"$12,500 - $14,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Operators, fabricators and laborers"
68,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, naturalized US citizen",Male,Married,3,Black,9th grade,Government - State,Not in labor force,MD,173,"$5,000 - $7,499",Hospital,Protective service
48,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Not married,10,Hispanic,"HS graduate, GED","Self-employed, unincorporated",Not in labor force,LA,9,"$35,000 - $39,999",Wholesale trade,Personal care and personal services
74,No own children under 18 years of age,"Native, born in US",Female,Not married,6,White,7th-8th grade,Government - State,"PT hrs, usually PT for economic reasons",OK,120,"$15,000 - $19,999","Agriculture, mining, forestry and fisheries",Technicians
41,All own children 3-5 years of age,"Native, born in US",Female,Not married,4,Black,Bachelor's degree,"Self-employed, incorporated",Not in labor force,WA,91,"$75,000 - $99,999",Communications and utilities,Technicians
21,All own children 0-2 years of age,"Native, born in US",Female,Married,3,Asian,Less than 1st grade,"Self-employed, unincorporated","Not at work, usually FT",NV,29,"$30,000 - $34,999",Communications and utilities,Managers and professionals
51,All own children 6-13 years of age,"Foreign born, not a US citizen",Female,Married,6,Hispanic,Less than 1st grade,"Private, nonprofit",Unemployed PT,NC,46,"$10,000 - $12,499",Construction,Sales
66,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Married,3,Multiple races,"HS graduate, GED",Government - Local,"PT for non-economic reasons, usually FT",CA,166,"$7,500 - $9,999",Wholesale trade,Services
34,All own children 3-5 years of age,"Native, born in US",Male,Not married,0,Hispanic,Associate degree-academic program,Without pay,"PT for non-economic reasons, usually FT",AZ,82,"$35,000 - $39,999",Wholesale trade,"Precision production, craft and repair"
32,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Married,6,Asian,Less than 1st grade,"Private, nonprofit",Unemployed PT,DC,111,"$5,000 - $7,499",Social Services,"Precision production, craft and repair"
33,All own children 6-13 years of age,"Foreign born, naturalized US citizen",Female,Not married,13,White,Associate degree-occupational/vocational,"Private, for profit",Unemployed PT,AR,50,"$35,000 - $39,999",Retail trade,Managers and professionals
31,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in Puerto Rico or other US island areas",Male,Married,12,Asian,12th grade-no diploma,Government - Federal,"Not at work, usually part-time",CA,27,"$7,500 - $9,999",Educational,Technicians
57,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Female,Not married,12,Black,Associate degree-occupational/vocational,"Self-employed, incorporated","FT hours, usually PT for non-economic",UT,191,"$40,000 - $49,999",Communications and utilities,Personal care and personal services
39,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Male,Married,0,White,Doctorate,Without pay,Unemployed PT,CO,196,"$25,000 - $29,999",Hospital,"Operators, fabricators and laborers"
62,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in US",Male,Not married,0,Hispanic,Associate degree-occupational/vocational,"Self-employed, unincorporated",Unemployed PT,NH,75,"$20,000 - $24,999",Transportation,Personal care and personal services
30,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,6,Asian,Less than 1st grade,"Private, nonprofit","PT hrs, usually PT for non-economic reasons",WV,196,"$10,000 - $12,499","Manufacturing, durable goods","Precision production, craft and repair"
45,All own children 3-5 years of age,"Native, born in Puerto Rico or other US island areas",Female,Not married,8,Black,10th grade,Without pay,Not in labor force,KY,172,"$75,000 - $99,999","Manufacturing, nondurable goods","Precision production, craft and repair"
44,Own children from all age groups,"Native, born in US",Male,Not married,6,Native American,Master's degree,"Private, nonprofit","Not at work, usually FT",OH,46,"$100,000 - $149,999","Manufacturing, durable goods","Operators, fabricators and laborers"
73,Own children from all age groups,"Foreign born, naturalized US citizen",Male,Married,8,Native American,7th-8th grade,"Private, for profit","Not at work, usually FT",ME,135,"$20,000 - $24,999",Social Services,"Precision production, craft and repair"
36,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, naturalized US citizen",Male,Not married,10,Asian,"HS graduate, GED",Government - Federal,"PT for non-economic reasons, usually FT",NE,109,"$40,000 - $49,999",Social Services,Agriculture
24,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in US",Male,Not married,11,White,Bachelor's degree,Government - Local,"FT hours (35+), usually FT",VA,27,"$100,000 - $149,999","Personal services, including private household",Managers and professionals
16,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Native, born in Puerto Rico or other US island areas",Male,Not married,3,Multiple races,Professional school,Government - Federal,"PT for non-economic reasons, usually FT",MT,39,"$40,000 - $49,999",Social Services,Personal care and personal services
26,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Married,9,Asian,10th grade,"Self-employed, unincorporated","FT hours (35+), usually FT",IN,55,"Less than $5,000",Educational,"Operators, fabricators and laborers"
39,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,7,Native American,Doctorate,Government - Local,"PT hrs, usually PT for non-economic reasons",FL,11,"$75,000 - $99,999",Social Services,"Precision production, craft and repair"
67,No own children under 18 years of age,"Foreign born, not a US citizen",Female,Married,8,Asian,10th grade,"Private, for profit","FT hours (35+), usually FT",SD,85,"$10,000 - $12,499","Medical, except hospital","Operators, fabricators and laborers"
59,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in Puerto Rico or other US island areas",Female,Married,13,Native American,Bachelor's degree,"Private, for profit","PT for economic reasons, usually FT",SD,87,"$35,000 - $39,999",Educational,Services
69,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Male,Not married,9,White,Associate degree-academic program,Government - Federal,"FT hours, usually PT for economic reasons",NH,151,"$20,000 - $24,999",Educational,Personal care and personal services
24,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Married,6,Hispanic,7th-8th grade,Government - Federal,Unemployed PT,OH,93,"$15,000 - $19,999",Educational,"Precision production, craft and repair"
47,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born abroad with American parent(s)",Female,Married,11,Hispanic,Professional school,"Self-employed, unincorporated","PT for non-economic reasons, usually FT",ID,101,"$7,500 - $9,999",Construction,Office and admin
22,Own children from all age groups,"Native, born in US",Female,Not married,11,White,Bachelor's degree,"Private, nonprofit","FT hours (35+), usually FT",NH,196,"$40,000 - $49,999",Social Services,Office and admin
26,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Married,13,Asian,7th-8th grade,Government - Local,Unemployed FT,GA,63,"Less than $5,000",Wholesale trade,Agriculture
63,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born abroad with American parent(s)",Male,Not married,2,Black,"HS graduate, GED",Government - Federal,"PT hrs, usually PT for non-economic reasons",HI,198,"$75,000 - $99,999","Agriculture, mining, forestry and fisheries",Technicians
28,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Male,Not married,3,White,9th grade,"Self-employed, incorporated","PT hrs, usually PT for economic reasons",CO,109,"$35,000 - $39,999","Manufacturing, durable goods",Agriculture
32,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Native, born in US",Female,Not married,11,Black,Bachelor's degree,"Self-employed, unincorporated","PT hrs, usually PT for non-economic reasons",OR,137,"$150,000+","Agriculture, mining, forestry and fisheries",Technicians
72,No own children under 18 years of age,"Native, born abroad with American parent(s)",Male,Married,6,Black,Associate degree-occupational/vocational,"Self-employed, unincorporated","FT hours (35+), usually FT",PA,95,"$7,500 - $9,999",Public administration,Office and admin
49,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Male,Married,9,Black,Professional school,"Private, for profit","FT hours, usually PT for economic reasons",OR,11,"$100,000 - $149,999","Agriculture, mining, forestry and fisheries",Sales
73,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in Puerto Rico or other US island areas",Male,Married,9,Black,Master's degree,Government - Local,"PT for non-economic reasons, usually FT",NJ,190,"$40,000 - $49,999",Retail trade,Technicians
20,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Female,Married,5,Hispanic,Doctorate,Without pay,Not in labor force,NJ,173,"$75,000 - $99,999",Wholesale trade,Services
31,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born abroad with American parent(s)",Male,Not married,13,Asian,Associate degree-occupational/vocational,"Private, for profit","FT hours, usually PT for economic reasons",MT,196,"$20,000 - $24,999",Public administration,Protective service
26,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Married,7,Hispanic,Bachelor's degree,Government - Local,"FT hours, usually PT for economic reasons",PA,190,"$150,000+","Personal services, including private household",Services
61,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Male,Not married,9,Black,"HS graduate, GED",Government - State,"FT hours, usually PT for economic reasons",MT,190,"$20,000 - $24,999","Manufacturing, durable goods",Agriculture
68,All own children 3-5 years of age,"Foreign born, not a US citizen",Female,Not married,3,Hispanic,Bachelor's degree,"Private, for profit","FT hours, usually PT for economic reasons",OR,34,"$5,000 - $7,499",Wholesale trade,Protective service
28,All own children 3-5 years of age,"Native, born in Puerto Rico or other US island areas",Male,Not married,11,Hispanic,Professional school,Without pay,"Not at work, usually FT",MI,11,"$15,000 - $19,999",Communications and utilities,"Precision production, craft and repair"
42,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Married,1,Native American,Professional school,Government - Local,"PT hrs, usually PT for economic reasons",KS,90,"$20,000 - $24,999",Social Services,Personal care and personal services
80,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Male,Not married,5,Hispanic,Bachelor's degree,"Private, for profit",Unemployed PT,WA,24,"$25,000 - $29,999","Personal services, including private household","Precision production, craft and repair"
53,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born abroad with American parent(s)",Male,Not married,9,White,11th grade,"Self-employed, unincorporated",Unemployed FT,NY,176,"$12,500 - $14,999",Wholesale trade,Managers and professionals
52,Own children from all age groups,"Native, born in US",Male,Married,8,Native American,Less than 1st grade,Government - State,"FT hours, usually PT for economic reasons",IA,198,"$30,000 - $34,999",Educational,"Operators, fabricators and laborers"
18,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born abroad with American parent(s)",Male,Married,8,Hispanic,"HS graduate, GED",Government - Federal,"FT hours, usually PT for economic reasons",AK,188,"$25,000 - $29,999",Educational,Personal care and personal services
19,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, not a US citizen",Male,Married,0,Hispanic,10th grade,Government - Federal,"FT hours, usually PT for non-economic",NJ,185,"$12,500 - $14,999",Wholesale trade,Personal care and personal services
57,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Female,Not married,4,Hispanic,Bachelor's degree,Government - State,"FT hours, usually PT for economic reasons",TX,162,"$100,000 - $149,999","Manufacturing, nondurable goods","Precision production, craft and repair"
74,All own children 0-2 years of age,"Foreign born, not a US citizen",Male,Not married,2,White,Doctorate,Government - Local,"FT hours, usually PT for economic reasons",OK,102,"$15,000 - $19,999","Agriculture, mining, forestry and fisheries","Operators, fabricators and laborers"
32,Own children from all age groups,"Foreign born, not a US citizen",Female,Married,4,Asian,5th-6th grade,Government - Local,"PT hrs, usually PT for non-economic reasons",NV,198,"$5,000 - $7,499",Social Services,"Precision production, craft and repair"
30,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, not a US citizen",Male,Married,6,Native American,7th-8th grade,Without pay,"FT hours (35+), usually FT",NE,37,"$30,000 - $34,999",Social Services,Agriculture
43,All own children 14-17 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,10,White,Less than 1st grade,"Private, nonprofit","FT hours, usually PT for economic reasons",MD,46,"$10,000 - $12,499","Agriculture, mining, forestry and fisheries","Operators, fabricators and laborers"
22,Own children from all age groups,"Native, born in US",Female,Married,13,White,Professional school,"Private, nonprofit","Not at work, usually FT",NC,83,"$40,000 - $49,999","Medical, except hospital",Managers and professionals
69,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Female,Married,12,Multiple races,1st-4th grade,Government - Federal,"FT hours, usually PT for non-economic",AK,177,"$25,000 - $29,999","Medical, except hospital",Services
41,All own children 0-2 years of age,"Native, born in US",Male,Married,7,Multiple races,Associate degree-occupational/vocational,Government - Federal,Unemployed PT,KY,132,"$25,000 - $29,999",Public administration,Agriculture
33,No own children under 18 years of age,"Foreign born, naturalized US citizen",Female,Not married,3,Asian,12th grade-no diploma,"Private, for profit","PT for non-economic reasons, usually FT",NY,148,"$50,000 - $74,999","Agriculture, mining, forestry and fisheries","Precision production, craft and repair"
54,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Female,Not married,2,Native American,1st-4th grade,Government - State,"FT hours, usually PT for non-economic",NY,80,"$5,000 - $7,499",Retail trade,Personal care and personal services
21,Own children from all age groups,"Foreign born, not a US citizen",Male,Married,2,Black,1st-4th grade,"Private, nonprofit","PT for economic reasons, usually FT",IN,95,"$35,000 - $39,999",Hospital,Office and admin
